序号,发送时间,接收时间,发送内容,接收内容,延迟,信号强度,是否丢包,内容出错,延迟等级,状态划分
10000014,2024-09-09 19:49:03.560,2024-09-09 19:49:03.884,10000014 0909194903560 99,10000014 0909194903560 99,324,99,False,False,2,1
10000015,2024-09-09 19:49:04.158,2024-09-09 19:49:04.446,10000015 0909194904158 99,10000015 0909194904158 99,288,99,False,False,1,1
10000016,2024-09-09 19:49:04.748,2024-09-09 19:49:05.040,10000016 0909194904748 99,10000016 0909194904748 99,292,99,False,False,1,1
10000017,2024-09-09 19:49:05.339,2024-09-09 19:49:05.649,10000017 0909194905339 99,10000017 0909194905339 99,310,99,False,False,2,1
10000018,2024-09-09 19:49:05.928,2024-09-09 19:49:06.211,10000018 0909194905928 99,10000018 0909194905928 99,283,99,False,False,1,1
10000019,2024-09-09 19:49:06.514,2024-09-09 19:49:06.820,10000019 0909194906514 99,10000019 0909194906514 99,306,99,False,False,2,1
10000020,2024-09-09 19:49:07.104,2024-09-09 19:49:07.429,10000020 0909194907104 99,10000020 0909194907104 99,325,99,False,False,2,1
10000021,2024-09-09 19:49:07.698,2024-09-09 19:49:07.992,10000021 0909194907698 99,10000021 0909194907698 99,294,99,False,False,1,1
10000022,2024-09-09 19:49:08.289,2024-09-09 19:49:08.585,10000022 0909194908289 99,10000022 0909194908289 99,296,99,False,False,1,1
10000023,2024-09-09 19:49:08.880,2024-09-09 19:49:09.195,10000023 0909194908880 99,10000023 0909194908880 99,315,99,False,False,2,1
10000024,2024-09-09 19:49:09.471,2024-09-09 19:49:09.757,10000024 0909194909471 99,10000024 0909194909471 99,286,99,False,False,1,1
10000025,2024-09-09 19:49:10.060,2024-09-09 19:49:10.366,10000025 0909194910060 99,10000025 0909194910060 99,306,99,False,False,2,1
10000026,2024-09-09 19:49:10.653,2024-09-09 19:49:10.975,10000026 0909194910653 99,10000026 0909194910653 99,322,99,False,False,2,1
10000027,2024-09-09 19:49:11.245,2024-09-09 19:49:11.538,10000027 0909194911245 99,10000027 0909194911245 99,293,99,False,False,1,1
10000028,2024-09-09 19:49:11.835,2024-09-09 19:49:12.147,10000028 0909194911835 99,10000028 0909194911835 99,312,99,False,False,2,1
10000029,2024-09-09 19:49:12.425,2024-09-09 19:49:12.740,10000029 0909194912425 99,10000029 0909194912425 99,315,99,False,False,2,1
10000030,2024-09-09 19:49:13.018,2024-09-09 19:49:13.303,10000030 0909194913018 99,10000030 0909194913018 99,285,99,False,False,1,1
10000031,2024-09-09 19:49:13.608,2024-09-09 19:49:13.912,10000031 0909194913608 99,10000031 0909194913608 99,304,99,False,False,2,1
10000032,2024-09-09 19:49:14.199,2024-09-09 19:49:14.521,10000032 0909194914199 99,10000032 0909194914199 99,322,99,False,False,2,1
10000033,2024-09-09 19:49:14.791,2024-09-09 19:49:15.083,10000033 0909194914791 99,10000033 0909194914791 99,292,99,False,False,1,1
10000034,2024-09-09 19:49:15.387,2024-09-09 19:49:15.677,10000034 0909194915387 99,10000034 0909194915387 99,290,99,False,False,1,1
10000035,2024-09-09 19:49:15.977,2024-09-09 19:49:16.286,10000035 0909194915977 99,10000035 0909194915977 99,309,99,False,False,2,1
10000036,2024-09-09 19:49:16.569,2024-09-09 19:49:16.848,10000036 0909194916569 99,10000036 0909194916569 99,279,99,False,False,1,1
10000037,2024-09-09 19:49:17.160,2024-09-09 19:49:17.458,10000037 0909194917160 99,10000037 0909194917160 99,298,99,False,False,1,1
10000038,2024-09-09 19:49:17.751,2024-09-09 19:49:18.067,10000038 0909194917751 99,10000038 0909194917751 99,316,99,False,False,2,1
10000039,2024-09-09 19:49:18.343,2024-09-09 19:49:18.629,10000039 0909194918343 99,10000039 0909194918343 99,286,99,False,False,1,1
10000040,2024-09-09 19:49:18.935,2024-09-09 19:49:19.223,10000040 0909194918935 99,10000040 0909194918935 99,288,99,False,False,1,1
10000041,2024-09-09 19:49:19.527,2024-09-09 19:49:19.832,10000041 0909194919527 99,10000041 0909194919527 99,305,99,False,False,2,1
10000042,2024-09-09 19:49:20.118,2024-09-09 19:49:20.441,10000042 0909194920118 99,10000042 0909194920118 99,323,99,False,False,2,1
10000043,2024-09-09 19:49:20.712,2024-09-09 19:49:21.003,10000043 0909194920712 99,10000043 0909194920712 99,291,99,False,False,1,1
10000044,2024-09-09 19:49:21.302,2024-09-09 19:49:21.612,10000044 0909194921302 99,10000044 0909194921302 99,310,99,False,False,2,1
10000045,2024-09-09 19:49:21.894,2024-09-09 19:49:22.222,10000045 0909194921894 99,10000045 0909194921894 99,328,99,False,False,2,1
10000046,2024-09-09 19:49:22.489,2024-09-09 19:49:22.784,10000046 0909194922489 99,10000046 0909194922489 99,295,99,False,False,1,1
10000047,2024-09-09 19:49:23.079,2024-09-09 19:49:23.378,10000047 0909194923079 99,10000047 0909194923079 99,299,99,False,False,1,1
10000048,2024-09-09 19:49:23.672,2024-09-09 19:49:23.987,10000048 0909194923672 99,10000048 0909194923672 99,315,99,False,False,2,1
10000049,2024-09-09 19:49:24.263,2024-09-09 19:49:24.549,10000049 0909194924263 99,10000049 0909194924263 99,286,99,False,False,1,1
10000050,2024-09-09 19:49:24.854,2024-09-09 19:49:25.158,10000050 0909194924854 99,10000050 0909194924854 99,304,99,False,False,2,1
10000051,2024-09-09 19:49:25.446,2024-09-09 19:49:25.767,10000051 0909194925446 99,10000051 0909194925446 99,321,99,False,False,2,1
10000052,2024-09-09 19:49:26.037,2024-09-09 19:49:26.330,10000052 0909194926037 99,10000052 0909194926037 99,293,99,False,False,1,1
10000053,2024-09-09 19:49:26.633,2024-09-09 19:49:26.923,10000053 0909194926633 99,10000053 0909194926633 99,290,99,False,False,1,1
10000054,2024-09-09 19:49:27.226,2024-09-09 19:49:27.532,10000054 0909194927226 99,10000054 0909194927226 99,306,99,False,False,2,1
10000055,2024-09-09 19:49:27.819,2024-09-09 19:49:28.142,10000055 0909194927819 99,10000055 0909194927819 99,323,99,False,False,2,1
10000056,2024-09-09 19:49:28.411,2024-09-09 19:49:28.704,10000056 0909194928411 99,10000056 0909194928411 99,293,99,False,False,1,1
10000057,2024-09-09 19:49:29.000,2024-09-09 19:49:29.313,10000057 0909194929000 99,10000057 0909194929000 99,313,99,False,False,2,1
10000058,2024-09-09 19:49:29.591,2024-09-09 19:49:29.875,10000058 0909194929591 99,10000058 0909194929591 99,284,99,False,False,1,1
10000059,2024-09-09 19:49:30.181,2024-09-09 19:49:30.469,10000059 0909194930181 99,10000059 0909194930181 99,288,99,False,False,1,1
10000060,2024-09-09 19:49:30.772,2024-09-09 19:49:31.078,10000060 0909194930772 99,10000060 0909194930772 99,306,99,False,False,2,1
10000061,2024-09-09 19:49:31.363,2024-09-09 19:49:31.640,10000061 0909194931363 99,10000061 0909194931363 99,277,99,False,False,1,1
10000062,2024-09-09 19:49:31.956,2024-09-09 19:49:32.250,10000062 0909194931956 99,10000062 0909194931956 99,294,99,False,False,1,1
10000063,2024-09-09 19:49:32.548,2024-09-09 19:49:32.859,10000063 0909194932548 99,10000063 0909194932548 99,311,99,False,False,2,1
10000064,2024-09-09 19:49:33.139,2024-09-09 19:49:33.452,10000064 0909194933139 99,10000064 0909194933139 99,313,99,False,False,2,1
10000065,2024-09-09 19:49:33.733,2024-09-09 19:49:34.030,10000065 0909194933733 99,10000065 0909194933733 99,297,99,False,False,1,1
10000066,2024-09-09 19:49:34.324,2024-09-09 19:49:34.624,10000066 0909194934324 99,10000066 0909194934324 99,300,99,False,False,1,1
10000067,2024-09-09 19:49:34.916,2024-09-09 19:49:35.233,10000067 0909194934916 99,10000067 0909194934916 99,317,99,False,False,2,1
10000068,2024-09-09 19:49:35.508,2024-09-09 19:49:35.795,10000068 0909194935508 99,10000068 0909194935508 99,287,99,False,False,1,1
10000069,2024-09-09 19:49:36.100,2024-09-09 19:49:36.405,10000069 0909194936100 99,10000069 0909194936100 99,305,99,False,False,2,1
10000070,2024-09-09 19:49:36.691,2024-09-09 19:49:36.998,10000070 0909194936691 99,10000070 0909194936691 99,307,99,False,False,2,1
10000071,2024-09-09 19:49:37.282,2024-09-09 19:49:37.607,10000071 0909194937282 99,10000071 0909194937282 99,325,99,False,False,2,1
10000072,2024-09-09 19:49:37.906,2024-09-09 19:49:38.217,10000072 0909194937906 99,10000072 0909194937906 99,311,99,False,False,2,1
10000073,2024-09-09 19:49:38.497,2024-09-09 19:49:38.826,10000073 0909194938497 99,10000073 0909194938497 99,329,99,False,False,2,1
10000074,2024-09-09 19:49:39.091,2024-09-09 19:49:39.388,10000074 0909194939091 99,10000074 0909194939091 99,297,99,False,False,1,1
10000075,2024-09-09 19:49:39.681,2024-09-09 19:49:39.982,10000075 0909194939681 99,10000075 0909194939681 99,301,99,False,False,2,1
10000076,2024-09-09 19:49:40.274,2024-09-09 19:49:40.591,10000076 0909194940274 99,10000076 0909194940274 99,317,99,False,False,2,1
10000077,2024-09-09 19:49:40.863,2024-09-09 19:49:41.153,10000077 0909194940863 99,10000077 0909194940863 99,290,99,False,False,1,1
10000078,2024-09-09 19:49:41.452,2024-09-09 19:49:41.762,10000078 0909194941452 99,10000078 0909194941452 99,310,99,False,False,2,1
10000079,2024-09-09 19:49:42.042,2024-09-09 19:49:42.325,10000079 0909194942042 99,10000079 0909194942042 99,283,99,False,False,1,1
10000080,2024-09-09 19:49:42.633,2024-09-09 19:49:42.965,10000080 0909194942633 99,10000080 0909194942633 99,332,99,False,False,2,1
10000081,2024-09-09 19:49:43.246,2024-09-09 19:49:43.543,10000081 0909194943246 99,10000081 0909194943246 99,297,99,False,False,1,1
10000082,2024-09-09 19:49:43.837,2024-09-09 19:49:44.136,10000082 0909194943837 99,10000082 0909194943837 99,299,99,False,False,1,1
10000083,2024-09-09 19:49:44.427,2024-09-09 19:49:44.746,10000083 0909194944427 99,10000083 0909194944427 99,319,99,False,False,2,1
10000084,2024-09-09 19:49:45.026,2024-09-09 19:49:45.308,10000084 0909194945026 99,10000084 0909194945026 99,282,99,False,False,1,1
10000085,2024-09-09 19:49:45.617,2024-09-09 19:49:45.917,10000085 0909194945617 99,10000085 0909194945617 99,300,99,False,False,1,1
10000086,2024-09-09 19:49:46.208,2024-09-09 19:49:46.511,10000086 0909194946208 99,10000086 0909194946208 99,303,99,False,False,2,1
10000087,2024-09-09 19:49:46.800,2024-09-09 19:49:47.073,10000087 0909194946800 99,10000087 0909194946800 99,273,99,False,False,1,1
10000088,2024-09-09 19:49:47.389,2024-09-09 19:49:47.682,10000088 0909194947389 99,10000088 0909194947389 99,293,99,False,False,1,1
10000089,2024-09-09 19:49:47.979,2024-09-09 19:49:48.291,10000089 0909194947979 99,10000089 0909194947979 99,312,99,False,False,2,1
10000090,2024-09-09 19:49:48.593,2024-09-09 19:49:48.901,10000090 0909194948593 99,10000090 0909194948593 99,308,99,False,False,2,1
10000091,2024-09-09 19:49:49.185,2024-09-09 19:49:49.494,10000091 0909194949185 99,10000091 0909194949185 99,309,99,False,False,2,1
10000092,2024-09-09 19:49:49.775,2024-09-09 19:49:50.056,10000092 0909194949775 99,10000092 0909194949775 99,281,99,False,False,1,1
10000093,2024-09-09 19:49:50.367,2024-09-09 19:49:50.666,10000093 0909194950367 99,10000093 0909194950367 99,299,99,False,False,1,1
10000094,2024-09-09 19:49:50.956,2024-09-09 19:49:51.275,10000094 0909194950956 99,10000094 0909194950956 99,319,99,False,False,2,1
10000095,2024-09-09 19:49:51.549,2024-09-09 19:49:51.868,10000095 0909194951549 99,10000095 0909194951549 99,319,99,False,False,2,1
10000096,2024-09-09 19:49:52.149,2024-09-09 19:49:52.446,10000096 0909194952149 99,10000096 0909194952149 99,297,99,False,False,1,1
10000097,2024-09-09 19:49:52.742,2024-09-09 19:49:53.040,10000097 0909194952742 99,10000097 0909194952742 99,298,99,False,False,1,1
10000098,2024-09-09 19:49:53.334,2024-09-09 19:49:53.649,10000098 0909194953334 99,10000098 0909194953334 99,315,99,False,False,2,1
10000099,2024-09-09 19:49:53.935,2024-09-09 19:49:54.258,10000099 0909194953935 99,10000099 0909194953935 99,323,99,False,False,2,1
10000100,2024-09-09 19:49:54.525,2024-09-09 19:49:54.821,10000100 0909194954525 99,10000100 0909194954525 99,296,99,False,False,1,1
10000101,2024-09-09 19:49:55.117,2024-09-09 19:49:55.430,10000101 0909194955117 99,10000101 0909194955117 99,313,99,False,False,2,1
10000102,2024-09-09 19:49:55.708,2024-09-09 19:49:56.023,10000102 0909194955708 99,10000102 0909194955708 99,315,99,False,False,2,1
10000103,2024-09-09 19:49:56.301,2024-09-09 19:49:56.586,10000103 0909194956301 99,10000103 0909194956301 99,285,99,False,False,1,1
10000104,2024-09-09 19:49:56.891,2024-09-09 19:49:57.195,10000104 0909194956891 99,10000104 0909194956891 99,304,99,False,False,2,1
10000105,2024-09-09 19:49:57.482,2024-09-09 19:49:57.804,10000105 0909194957482 99,10000105 0909194957482 99,322,99,False,False,2,1
10000106,2024-09-09 19:49:58.074,2024-09-09 19:49:58.366,10000106 0909194958074 99,10000106 0909194958074 99,292,99,False,False,1,1
10000107,2024-09-09 19:49:58.664,2024-09-09 19:49:58.976,10000107 0909194958664 99,10000107 0909194958664 99,312,99,False,False,2,1
10000108,2024-09-09 19:49:59.259,2024-09-09 19:49:59.569,10000108 0909194959259 99,10000108 0909194959259 99,310,99,False,False,2,1
10000109,2024-09-09 19:49:59.850,2024-09-09 19:50:00.131,10000109 0909194959850 99,10000109 0909194959850 99,281,99,False,False,1,1
10000110,2024-09-09 19:50:00.443,2024-09-09 19:50:00.741,10000110 0909195000443 99,10000110 0909195000443 99,298,99,False,False,1,1
10000111,2024-09-09 19:50:01.035,2024-09-09 19:50:01.350,10000111 0909195001035 99,10000111 0909195001035 99,315,99,False,False,2,1
10000112,2024-09-09 19:50:01.626,2024-09-09 19:50:01.912,10000112 0909195001626 99,10000112 0909195001626 99,286,99,False,False,1,1
10000113,2024-09-09 19:50:02.217,2024-09-09 19:50:02.521,10000113 0909195002217 99,10000113 0909195002217 99,304,99,False,False,2,1
10000114,2024-09-09 19:50:02.810,2024-09-09 19:50:03.115,10000114 0909195002810 99,10000114 0909195002810 99,305,99,False,False,2,1
10000115,2024-09-09 19:50:03.401,2024-09-09 19:50:03.677,10000115 0909195003401 99,10000115 0909195003401 99,276,99,False,False,1,1
10000116,2024-09-09 19:50:03.992,2024-09-09 19:50:04.286,10000116 0909195003992 99,10000116 0909195003992 99,294,99,False,False,1,1
10000117,2024-09-09 19:50:04.580,2024-09-09 19:50:04.895,10000117 0909195004580 99,10000117 0909195004580 99,315,99,False,False,2,1
10000118,2024-09-09 19:50:05.170,2024-09-09 19:50:05.458,10000118 0909195005170 99,10000118 0909195005170 99,288,99,False,False,1,1
10000119,2024-09-09 19:50:05.762,2024-09-09 19:50:06.067,10000119 0909195005762 99,10000119 0909195005762 99,305,99,False,False,2,1
10000120,2024-09-09 19:50:06.352,2024-09-09 19:50:06.676,10000120 0909195006352 99,10000120 0909195006352 99,324,99,False,False,2,1
10000121,2024-09-09 19:50:06.945,2024-09-09 19:50:07.238,10000121 0909195006945 99,10000121 0909195006945 99,293,99,False,False,1,1
10000122,2024-09-09 19:50:07.538,2024-09-09 19:50:07.832,10000122 0909195007538 99,10000122 0909195007538 99,294,99,False,False,1,1
10000123,2024-09-09 19:50:08.129,2024-09-09 19:50:08.441,10000123 0909195008129 99,10000123 0909195008129 99,312,99,False,False,2,1
10000124,2024-09-09 19:50:08.721,2024-09-09 19:50:09.004,10000124 0909195008721 99,10000124 0909195008721 99,283,99,False,False,1,1
10000125,2024-09-09 19:50:09.311,2024-09-09 19:50:09.613,10000125 0909195009311 99,10000125 0909195009311 99,302,99,False,False,2,1
10000126,2024-09-09 19:50:09.901,2024-09-09 19:50:10.222,10000126 0909195009901 99,10000126 0909195009901 99,321,99,False,False,2,1
10000127,2024-09-09 19:50:10.491,2024-09-09 19:50:10.784,10000127 0909195010491 99,10000127 0909195010491 99,293,99,False,False,1,1
10000128,2024-09-09 19:50:11.081,2024-09-09 19:50:11.378,10000128 0909195011081 99,10000128 0909195011081 99,297,99,False,False,1,1
10000129,2024-09-09 19:50:11.671,2024-09-09 19:50:11.987,10000129 0909195011671 99,10000129 0909195011671 99,316,99,False,False,2,1
10000130,2024-09-09 19:50:12.263,2024-09-09 19:50:12.549,10000130 0909195012263 99,10000130 0909195012263 99,286,99,False,False,1,1
10000131,2024-09-09 19:50:12.854,2024-09-09 19:50:13.158,10000131 0909195012854 99,10000131 0909195012854 99,304,99,False,False,2,1
10000132,2024-09-09 19:50:13.447,2024-09-09 19:50:13.768,10000132 0909195013447 99,10000132 0909195013447 99,321,99,False,False,2,1
10000133,2024-09-09 19:50:14.044,2024-09-09 19:50:14.361,10000133 0909195014044 99,10000133 0909195014044 99,317,99,False,False,2,1
10000134,2024-09-09 19:50:14.645,2024-09-09 19:50:14.924,10000134 0909195014645 99,10000134 0909195014645 99,279,99,False,False,1,1
10000135,2024-09-09 19:50:15.237,2024-09-09 19:50:15.533,10000135 0909195015237 99,10000135 0909195015237 99,296,99,False,False,1,1
10000136,2024-09-09 19:50:15.826,2024-09-09 19:50:16.142,10000136 0909195015826 99,10000136 0909195015826 99,316,99,False,False,2,1
10000137,2024-09-09 19:50:16.421,2024-09-09 19:50:16.704,10000137 0909195016421 99,10000137 0909195016421 99,283,99,False,False,1,1
10000138,2024-09-09 19:50:17.011,2024-09-09 19:50:17.313,10000138 0909195017011 99,10000138 0909195017011 99,302,99,False,False,2,1
10000139,2024-09-09 19:50:17.601,2024-09-09 19:50:17.907,10000139 0909195017601 99,10000139 0909195017601 99,306,99,False,False,2,1
10000140,2024-09-09 19:50:18.195,2024-09-09 19:50:18.516,10000140 0909195018195 99,10000140 0909195018195 99,321,99,False,False,2,1
10000141,2024-09-09 19:50:18.787,2024-09-09 19:50:19.078,10000141 0909195018787 99,10000141 0909195018787 99,291,99,False,False,1,1
10000142,2024-09-09 19:50:19.377,2024-09-09 19:50:19.688,10000142 0909195019377 99,10000142 0909195019377 99,311,99,False,False,2,1
10000143,2024-09-09 19:50:19.971,2024-09-09 19:50:20.297,10000143 0909195019971 99,10000143 0909195019971 99,326,99,False,False,2,1
10000144,2024-09-09 19:50:20.561,2024-09-09 19:50:20.859,10000144 0909195020561 99,10000144 0909195020561 99,298,99,False,False,1,1
10000145,2024-09-09 19:50:21.153,2024-09-09 19:50:21.453,10000145 0909195021153 99,10000145 0909195021153 99,300,99,False,False,1,1
10000146,2024-09-09 19:50:21.747,2024-09-09 19:50:22.062,10000146 0909195021747 99,10000146 0909195021747 99,315,99,False,False,2,1
10000147,2024-09-09 19:50:22.340,2024-09-09 19:50:22.624,10000147 0909195022340 99,10000147 0909195022340 99,284,99,False,False,1,1
10000148,2024-09-09 19:50:22.931,2024-09-09 19:50:23.233,10000148 0909195022931 99,10000148 0909195022931 99,302,99,False,False,2,1
10000149,2024-09-09 19:50:23.521,2024-09-09 19:50:23.843,10000149 0909195023521 99,10000149 0909195023521 99,322,99,False,False,2,1
10000150,2024-09-09 19:50:24.114,2024-09-09 19:50:24.405,10000150 0909195024114 99,10000150 0909195024114 99,291,99,False,False,1,1
10000151,2024-09-09 19:50:24.703,2024-09-09 19:50:24.998,10000151 0909195024703 99,10000151 0909195024703 99,295,99,False,False,1,1
10000152,2024-09-09 19:50:25.306,2024-09-09 19:50:25.608,10000152 0909195025306 99,10000152 0909195025306 99,302,99,False,False,2,1
10000153,2024-09-09 19:50:25.899,2024-09-09 19:50:26.232,10000153 0909195025899 99,10000153 0909195025899 99,333,99,False,False,2,1
10000154,2024-09-09 19:50:26.490,2024-09-09 19:50:26.779,10000154 0909195026490 99,10000154 0909195026490 99,289,99,False,False,1,1
10000155,2024-09-09 19:50:27.083,2024-09-09 19:50:27.388,10000155 0909195027083 99,10000155 0909195027083 99,305,99,False,False,2,1
10000156,2024-09-09 19:50:27.675,2024-09-09 19:50:27.982,10000156 0909195027675 99,10000156 0909195027675 99,307,99,False,False,2,1
10000157,2024-09-09 19:50:28.265,2024-09-09 19:50:28.560,10000157 0909195028265 99,10000157 0909195028265 99,295,99,False,False,1,1
10000158,2024-09-09 19:50:28.858,2024-09-09 19:50:29.153,10000158 0909195028858 99,10000158 0909195028858 99,295,99,False,False,1,1
10000159,2024-09-09 19:50:29.448,2024-09-09 19:50:29.763,10000159 0909195029448 99,10000159 0909195029448 99,315,99,False,False,2,1
10000160,2024-09-09 19:50:30.039,2024-09-09 19:50:30.372,10000160 0909195030039 99,10000160 0909195030039 99,333,99,False,False,2,1
10000161,2024-09-09 19:50:30.664,2024-09-09 19:50:30.965,10000161 0909195030664 99,10000161 0909195030664 99,301,99,False,False,2,1
10000162,2024-09-09 19:50:31.255,2024-09-09 19:50:31.574,10000162 0909195031255 99,10000162 0909195031255 99,319,99,False,False,2,1
10000163,2024-09-09 19:50:31.847,2024-09-09 19:50:32.137,10000163 0909195031847 99,10000163 0909195031847 99,290,99,False,False,1,1
10000164,2024-09-09 19:50:32.438,2024-09-09 19:50:32.746,10000164 0909195032438 99,10000164 0909195032438 99,308,99,False,False,2,1
10000165,2024-09-09 19:50:33.032,2024-09-09 19:50:33.355,10000165 0909195033032 99,10000165 0909195033032 99,323,99,False,False,2,1
10000166,2024-09-09 19:50:33.624,2024-09-09 19:50:33.917,10000166 0909195033624 99,10000166 0909195033624 99,293,99,False,False,1,1
10000167,2024-09-09 19:50:34.217,2024-09-09 19:50:34.511,10000167 0909195034217 99,10000167 0909195034217 99,294,99,False,False,1,1
10000168,2024-09-09 19:50:34.810,2024-09-09 19:50:35.120,10000168 0909195034810 99,10000168 0909195034810 99,310,99,False,False,2,1
10000169,2024-09-09 19:50:35.402,2024-09-09 19:50:35.729,10000169 0909195035402 99,10000169 0909195035402 99,327,99,False,False,2,1
10000170,2024-09-09 19:50:36.022,2024-09-09 19:50:36.323,10000170 0909195036022 99,10000170 0909195036022 99,301,99,False,False,2,1
10000171,2024-09-09 19:50:36.615,2024-09-09 19:50:36.932,10000171 0909195036615 99,10000171 0909195036615 99,317,99,False,False,2,1
10000172,2024-09-09 19:50:37.208,2024-09-09 19:50:37.494,10000172 0909195037208 99,10000172 0909195037208 99,286,99,False,False,1,1
10000173,2024-09-09 19:50:37.799,2024-09-09 19:50:38.104,10000173 0909195037799 99,10000173 0909195037799 99,305,99,False,False,2,1
10000174,2024-09-09 19:50:38.390,2024-09-09 19:50:38.713,10000174 0909195038390 99,10000174 0909195038390 99,323,99,False,False,2,1
10000175,2024-09-09 19:50:38.981,2024-09-09 19:50:39.275,10000175 0909195038981 99,10000175 0909195038981 99,294,99,False,False,1,1
10000176,2024-09-09 19:50:39.571,2024-09-09 19:50:39.884,10000176 0909195039571 99,10000176 0909195039571 99,313,99,False,False,2,1
10000177,2024-09-09 19:50:40.173,2024-09-09 19:50:40.478,10000177 0909195040173 99,10000177 0909195040173 99,305,99,False,False,2,1
10000178,2024-09-09 19:50:40.764,2024-09-09 19:50:41.087,10000178 0909195040764 99,10000178 0909195040764 99,323,99,False,False,2,1
10000179,2024-09-09 19:50:41.372,2024-09-09 19:50:41.696,10000179 0909195041372 99,10000179 0909195041372 99,324,99,False,False,2,1
10000180,2024-09-09 19:50:41.964,2024-09-09 19:50:42.259,10000180 0909195041964 99,10000180 0909195041964 99,295,99,False,False,1,1
10000181,2024-09-09 19:50:42.554,2024-09-09 19:50:42.868,10000181 0909195042554 99,10000181 0909195042554 99,314,99,False,False,2,1
10000182,2024-09-09 19:50:43.146,2024-09-09 19:50:43.461,10000182 0909195043146 99,10000182 0909195043146 99,315,99,False,False,2,1
10000183,2024-09-09 19:50:43.739,2024-09-09 19:50:44.024,10000183 0909195043739 99,10000183 0909195043739 99,285,99,False,False,1,1
10000184,2024-09-09 19:50:44.329,2024-09-09 19:50:44.633,10000184 0909195044329 99,10000184 0909195044329 99,304,99,False,False,2,1
10000185,2024-09-09 19:50:44.920,2024-09-09 19:50:45.242,10000185 0909195044920 99,10000185 0909195044920 99,322,99,False,False,2,1
10000186,2024-09-09 19:50:45.512,2024-09-09 19:50:45.804,10000186 0909195045512 99,10000186 0909195045512 99,292,99,False,False,1,1
10000187,2024-09-09 19:50:46.105,2024-09-09 19:50:46.413,10000187 0909195046105 99,10000187 0909195046105 99,308,99,False,False,2,1
10000188,2024-09-09 19:50:46.703,2024-09-09 19:50:47.007,10000188 0909195046703 99,10000188 0909195046703 99,304,99,False,False,2,1
10000189,2024-09-09 19:50:47.301,2024-09-09 19:50:47.616,10000189 0909195047301 99,10000189 0909195047301 99,315,99,False,False,2,1
10000190,2024-09-09 19:50:47.892,2024-09-09 19:50:48.179,10000190 0909195047892 99,10000190 0909195047892 99,287,99,False,False,1,1
10000191,2024-09-09 19:50:48.481,2024-09-09 19:50:48.788,10000191 0909195048481 99,10000191 0909195048481 99,307,99,False,False,2,1
10000192,2024-09-09 19:50:49.071,2024-09-09 19:50:49.381,10000192 0909195049071 99,10000192 0909195049071 99,310,99,False,False,2,1
10000193,2024-09-09 19:50:49.662,2024-09-09 19:50:49.944,10000193 0909195049662 99,10000193 0909195049662 99,282,99,False,False,1,1
10000194,2024-09-09 19:50:50.254,2024-09-09 19:50:50.553,10000194 0909195050254 99,10000194 0909195050254 99,299,99,False,False,1,1
10000195,2024-09-09 19:50:50.847,2024-09-09 19:50:51.162,10000195 0909195050847 99,10000195 0909195050847 99,315,99,False,False,2,1
10000196,2024-09-09 19:50:51.446,2024-09-09 19:50:51.724,10000196 0909195051446 99,10000196 0909195051446 99,278,99,False,False,1,1
10000197,2024-09-09 19:50:52.033,2024-09-09 19:50:52.333,10000197 0909195052033 99,10000197 0909195052033 99,300,99,False,False,1,1
